id,title,act3_feature,description,target_audience,video_format,status
1,From One Sentence to a Full Movie Script,AI Story Expansion,"Show how a single logline like 'a detective who can hear memories' becomes a complete screenplay with beats, scenes, and dialogue in seconds. No writing experience needed.",newcomers + filmmakers,short-form (60–90s),idea
2,22 Shot Types Explained in 90 Seconds,22 Canonical Shot Types + Camera Templates,"Demo each shot type back-to-back — Extreme Wide to Rack Focus — showing how selecting a shot type instantly drives the AI generation with correct cinematic framing and emotional tone.",filmmakers + creators,fast-cut demo (90s),idea
3,Your Phone Is a Motion Capture Studio,Marker-less Consumer Device Motion Capture,"Film yourself acting a scene with your iPhone or webcam. Watch the performance get extracted and applied to a digital character in Blender — no mocap suit, no studio needed.",creators + indie filmmakers,tutorial (2–3 min),idea
4,One Photo Becomes a Digital Actor,Digital Actors from a Single Portrait,"Upload a single headshot. The AI builds a fully consistent digital character that holds its appearance across every shot in the film — no re-uploading, no drift.",filmmakers + agencies,demo (60s),idea
5,The AI Director Crew Working Together,AI Role System (Writer / Director / Cinematographer / Set Designer),"Show all five AI roles collaborating on a scene: Writer proposes dialogue, Cinematographer picks angles, Set Designer builds the environment, Director ties it together — human approves each step.",filmmakers + studios,explainer (2 min),idea
6,Every Shot Gets Its Own Mega Prompt,Mega Prompt Architecture,"Open a shot in the Mega Prompt Composer and show every layer: narrative, style, camera, lighting, audio, motion — all assembled and editable as YAML before it hits the AI engine.",power users + filmmakers,screen-capture demo (90s),idea
7,AI Builds Your Set From the Story,Sets Into Story — AI Set Suggestions,"Hit the 'Sets into Story' button and watch the AI read your script and propose matching virtual environments for each scene. Approve, swap, or customize — sets lock to your locations.",newcomers + creators,demo (60s),idea
8,Your City Block on Demand,Procedural City on Rails Set Type,"Define building types — restaurant corner, park, office tower — and watch a full walkable city block generate. Characters move through it with correct walking physics and consistent geography.",filmmakers + agencies,demo (90s),idea
9,Plan a Scene Like a Top Director,Top-Down Blocking Canvas,"Use the bird's-eye canvas to place cameras, draw movement paths with splines, and visualize field-of-view cones before rendering a single frame. Save credits by planning instead of guessing.",experienced filmmakers,tutorial (2 min),idea
10,Audio Makes Your Character's Face Act,NVIDIA Audio2Face Facial Performance,"Record a voice line. Watch Audio2Face drive brow movement, blinking, emotional changes, and realistic expressions synced frame-by-frame to the audio waveform — far beyond lip-sync.",filmmakers + animators,side-by-side demo (90s),idea
11,Full Movie Management — From TV Show to Single Shot,Full Production Hierarchy (Show > Season > Episode > Scene > Shot),"Scroll through a structured TV series — show level, season, episodes, scenes, shots — all managed in one workspace. Show how changes at the beat level cascade through the whole production.",studios + agencies,overview demo (90s),idea
12,Tell the Story Once — AI Updates Everything,Story Dependency Graph + Automated Calc Engine,"Edit a story beat and watch the Calc Engine cascade the change through every affected scene, shot, and render prompt automatically. No manual re-work after story decisions.",filmmakers + screenwriters,explainer (2 min),idea
13,Switch AI Engines Per Shot — Best Quality at Lowest Cost,Multi-Engine Auto-Selection (Veo 3 / Runway / Wan 2.1 / ComfyUI),"Open the engine picker on three different shots — action sequence, dialogue close-up, landscape wide — and show how each gets routed to the optimal engine with cost shown before confirming.",power users + agencies,screen-capture demo (90s),idea
14,From Script to Finished Video in Two Hours,End-to-End Workflow Speed Demo,"Time-lapse walkthrough: import a 10-page script, approve AI beats, assign sets and actors, generate shots, edit in the timeline, export to 16:9 and 9:16. Traditional pre-production: 80–200 hours.",newcomers + marketing teams,showcase (2–3 min),idea
15,Collaborate Live With Your Whole Team,Real-Time Multi-User Collaboration,"Two people edit the same project simultaneously — live cursors, presence indicators, comment threads, role-based locks. Show a director and writer working on different scenes at the same time.",agencies + studios,demo (90s),idea
